goodnight252,
goodnight252,
goodnight252,https://www.goodnightjournal.com/wp-content/uploads/2016/03/07-Stella-gemella.mp3
goodnight252,I just found some days ago but I decided to listen to it just now lol.
goodnight252,The song is called, Stella Gemella by Eros Ramazzotti.
goodnight252,I love the instrumental soft rock behind it and of course the meaning of the lyrics 
goodnight252,
goodnight263,
goodnight263,why?
goodnight263,I don’t get breaks
goodnight263,Indian Lady (boss) messes with my brain telling me this when in reality it was that
goodnight263,I do most of the stuff
goodnight263,Morning Jobs are not for me, can’t help but to feel so fucking lazy ugh...
goodnight263,I only get a day off
goodnight263,My foot just hurt so bad
goodnight263, 
goodnight263,
goodnight265,
goodnight265,Its so hard to not feeling jealous when the guy I have feelings for couldn’t spend time with me last week because he was with the same woman and babysitting the kid.
goodnight265,I don’t want to feel disappointed anymore but I am....
goodnight265,
goodnight270,
goodnight270,Whenever my friend mentions his lover, I wish I could had a lover to stop feeling jealous all the time..
goodnight270,I often get sad when I see pics of naked couples around tumblr or love scenes  because I imagine my friend and her together 
goodnight270, 
goodnight270,It’s hard to move on by I will because it makes me sick to cry for some stupid crush shit
goodnight270,
goodnight269,
goodnight269,After a long late night yesterday, I woke up and it was so boring like plain boring today.
goodnight269,OMG, I just want to this day get over and fucking sleep!!!
goodnight269,I forgot to mention that I love my late Christmas gift from my friend, Michael.
goodnight269,I got 2 PostSecret books on Friday (yesterday) but the funny thing is that he gave me the first edition that I already own (never told him about it).
goodnight269,I wondered, out of the 6-7 books why he chose that one lol?!?!?!
goodnight269,I was about to tell him that but you know what?
goodnight269,I won’t because I plan to sell the book that I bought and keep the one he gave me :).
goodnight269,Finally,  we spent the rest of the night watching hockey, a movie, and telling each other goodnights.
goodnight269,He’s such a nice man, friend that I’m very lucky to have him and I don’t want to be away from him anymore.
goodnight269,If I were capable of having a bf, it would be him without a doubt..
goodnight269, 
goodnight269,
goodnight273,
goodnight273,I wonder why people are surprised that I’m 22 and never had worked in my life?!
goodnight273,Is not like I’m 32 and never had worked lol.
goodnight273,I hope one of two out 3 that I applied will call me soon because I just need money. 
goodnight273, 
goodnight273,
goodnight257,
goodnight257,I’m very sad right now because I’m afraid that I may have some sort of mental disorder because of the following things I’m experiencing:
goodnight257,My memory sucks, I’m forgetful
goodnight257,My mood swings change frequently 
goodnight257,I’m depressive
goodnight257,I get distracted easily
goodnight257,I get nervously tense
goodnight257, 
goodnight257, 
goodnight257, 
goodnight257,
goodnight250,
goodnight250,When I meet people, I always think you prefer someone else or meet someone else than me...that’s why I don’t socialize much, to avoid personal preference
goodnight250,
goodnight258,
goodnight258,Everytime he gives me suggestion on how to pursuit men I meet, it makes me sad to know that he doesn’t get jealous anymore.
goodnight258,I wish he could tell me things that indicate he still interested in me but since he met other girl 11 months back, I’m defeated.......there’s nothing I can do about it anymore....
goodnight258,I still wonder what does she has that I don’t have 
goodnight258,I often scare to tell him, what do you like about her or what made her interesting that you decided to met her and still being with her even if she sucks so often 
goodnight258, 
goodnight258,
goodnight253,
goodnight253,When people ask me about my life, I often make up stories so that people find me interesting instead of my simple plain life..
goodnight253,Its something that I want to stop but seem I can’t 
goodnight253,
goodnight268,
goodnight268,I finally got a new job as housekeeper in a hotel and I start tomorrow 
goodnight268, 
goodnight268,I hope it goes well since I don’t have any experience working 
goodnight268,
goodnight262,
goodnight262,Being illegal sucks because you don’t have the fair treatments and people (most) are racist towards us (Mexican illegals).
goodnight262,I want to be able to travel the world but with legal documents as many do.
goodnight262,Besides, for the past 14 years nothing has gone well in my life and I just want to start over in my native country from zero, a new beginning.
goodnight262,If I finally decide to move, it will take me time to get use to my country but don’t worry, I’m making my research.
goodnight262,Its something that I really have to think about it before leaving the US permanently.
goodnight262,Here are some of my reasons why I want to leave US:
goodnight262,
